2026-05-28 19:52:44 | WARNING  | file-server     | CPU usage at 93% - approaching threshold
2026-05-28 19:52:44 | WARNING  | web-server-01   | CPU usage at 96% - approaching threshold
2026-05-28 19:52:44 | WARNING  | auth-server     | Login attempt outside business hours by user adavis
2026-05-28 19:52:44 | CRITICAL | db-server-01    | Multiple failed logins detected from 156.178.222.39 - possible brute force
2026-05-28 19:52:44 | WARNING  | file-server     | Memory usage at 98% - monitor closely
2026-05-28 19:52:44 | INFO     | file-server     | Successful login by user mlopez from 33.84.239.130
2026-05-28 19:52:44 | INFO     | auth-server     | Successful login by user unknown_user from 158.92.123.28
2026-05-28 19:52:44 | CRITICAL | db-server-01    | Multiple failed logins detected from 105.228.73.226 - possible brute force
2026-05-28 19:52:44 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:52:44 | WARNING  | web-server-01   | CPU usage at 79% - approaching threshold
2026-05-28 19:52:44 | CRITICAL | db-server-01    | Memory usage at 90% - possible memory leak detected
2026-05-28 19:52:44 | INFO     | auth-server     | Service health check passed - all systems normal
2026-05-28 19:52:44 | WARNING  | file-server     | Login attempt outside business hours by user mlopez
2026-05-28 19:52:44 | WARNING  | auth-server     | CPU usage at 81% - approaching threshold
2026-05-28 19:52:44 | WARNING  | db-server-01    | Memory usage at 89% - monitor closely
2026-05-28 19:52:44 | WARNING  | db-server-01    | CPU usage at 92% - approaching threshold
2026-05-28 19:52:44 | WARNING  | db-server-01    | CPU usage at 93% - approaching threshold
2026-05-28 19:52:44 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:52:44 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:52:44 | CRITICAL | auth-server     | Multiple failed logins detected from 76.213.186.191 - possible brute force
2026-05-28 19:52:44 | WARNING  | db-server-01    | Service restarted 5 times in the last hour
2026-05-28 19:52:44 | ERROR    | api-gateway     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:44 | CRITICAL | file-server     | Disk usage at 93% - write failures imminent
2026-05-28 19:52:44 | INFO     | api-gateway     | Successful login by user unknown_user from 220.169.50.235
2026-05-28 19:52:44 | CRITICAL | auth-server     | Multiple failed logins detected from 65.119.56.227 - possible brute force
2026-05-28 19:52:44 | WARNING  | web-server-01   | Service restarted 5 times in the last hour
2026-05-28 19:52:44 | WARNING  | file-server     | Failed login attempt for user root from 51.235.39.128
2026-05-28 19:52:44 | CRITICAL | auth-server     | Unauthorized access attempt on restricted endpoint from 100.67.209.123
2026-05-28 19:52:44 | WARNING  | auth-server     | Service restarted 10 times in the last hour
2026-05-28 19:52:44 | WARNING  | db-server-01    | Login attempt outside business hours by user mlopez
2026-05-28 19:52:44 | CRITICAL | web-server-01   | Multiple failed logins detected from 182.148.168.213 - possible brute force
2026-05-28 19:52:44 | ERROR    | file-server     | HTTP 500 error rate at 28% over last 10 minutes
2026-05-28 19:52:44 | ERROR    | web-server-01   | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:44 | ERROR    | db-server-01    | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:52:44 | WARNING  | auth-server     | Failed login attempt for user root from 22.71.90.98
2026-05-28 19:52:44 | WARNING  | file-server     | Disk usage at 93% on /var/log partition
2026-05-28 19:52:44 | CRITICAL | web-server-01   | Database connection pool exhausted - all requests failing
