2026-05-28 19:51:54 | WARNING  | file-server     | Failed login attempt for user admin from 32.181.146.218
2026-05-28 19:51:54 | CRITICAL | auth-server     | Multiple failed logins detected from 41.107.38.237 - possible brute force
2026-05-28 19:51:54 | ERROR    | db-server-01    | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user admin from 193.175.86.240
2026-05-28 19:51:54 | CRITICAL | web-server-01   | Memory usage at 97% - possible memory leak detected
2026-05-28 19:51:54 | CRITICAL | file-server     | Disk usage at 78% - write failures imminent
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user admin from 98.20.65.97
2026-05-28 19:51:54 | WARNING  | api-gateway     | CPU usage at 87% - approaching threshold
2026-05-28 19:51:54 | ERROR    | web-server-01   | HTTP 500 error rate at 54% over last 10 minutes
2026-05-28 19:51:54 | INFO     | file-server     | Successful login by user unknown_user from 10.198.111.180
2026-05-28 19:51:54 | WARNING  | auth-server     | Login attempt outside business hours by user mlopez
2026-05-28 19:51:54 | CRITICAL | api-gateway     | Memory usage at 92% - possible memory leak detected
2026-05-28 19:51:54 | WARNING  | api-gateway     | Failed login attempt for user admin from 173.177.228.239
2026-05-28 19:51:54 | CRITICAL | api-gateway     | Unauthorized access attempt on restricted endpoint from 20.159.230.248
2026-05-28 19:51:54 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | WARNING  | auth-server     | CPU usage at 78% - approaching threshold
2026-05-28 19:51:54 | CRITICAL | auth-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:54 | WARNING  | auth-server     | Login attempt outside business hours by user unknown_user
2026-05-28 19:51:54 | WARNING  | db-server-01    | Memory usage at 75% - monitor closely
2026-05-28 19:51:54 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:54 | ERROR    | file-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | CRITICAL | file-server     | Disk usage at 78% - write failures imminent
2026-05-28 19:51:54 | WARNING  | db-server-01    | Memory usage at 78% - monitor closely
2026-05-28 19:51:54 | WARNING  | file-server     | CPU usage at 92% - approaching threshold
2026-05-28 19:51:54 | CRITICAL | web-server-01   | Multiple failed logins detected from 41.79.104.218 - possible brute force
2026-05-28 19:51:54 | CRITICAL | db-server-01    | CPU usage at 92% - threshold exceeded for 5+ minutes
2026-05-28 19:51:54 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user admin from 56.192.147.123
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user root from 28.66.218.126
2026-05-28 19:51:54 | INFO     | api-gateway     | Service health check passed - all systems normal
2026-05-28 19:51:54 | WARNING  | file-server     | Service restarted 6 times in the last hour
2026-05-28 19:51:54 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:54 | CRITICAL | web-server-01   | CPU usage at 91% - threshold exceeded for 5+ minutes
2026-05-28 19:51:54 | WARNING  | db-server-01    | Failed login attempt for user admin from 55.134.199.189
