2026-05-28 19:50:54 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:50:54 | CRITICAL | db-server-01    | Disk usage at 75% - write failures imminent
2026-05-28 19:50:54 | WARNING  | file-server     | Disk usage at 89% on /var/log partition
2026-05-28 19:50:54 | ERROR    | db-server-01    | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:50:54 | CRITICAL | api-gateway     | Disk usage at 79% - write failures imminent
2026-05-28 19:50:54 | WARNING  | api-gateway     | CPU usage at 90% - approaching threshold
2026-05-28 19:50:54 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:50:54 | CRITICAL | api-gateway     | Disk usage at 75% - write failures imminent
2026-05-28 19:50:54 | CRITICAL | api-gateway     | Memory usage at 98% - possible memory leak detected
2026-05-28 19:50:54 | INFO     | file-server     | Successful login by user unknown_user from 118.8.53.185
2026-05-28 19:50:54 | WARNING  | api-gateway     | Login attempt outside business hours by user mlopez
2026-05-28 19:50:54 | WARNING  | db-server-01    | Login attempt outside business hours by user jsmith
2026-05-28 19:50:54 | ERROR    | api-gateway     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:50:54 | WARNING  | auth-server     | CPU usage at 99% - approaching threshold
2026-05-28 19:50:54 | CRITICAL | file-server     | CPU usage at 97% - threshold exceeded for 5+ minutes
2026-05-28 19:50:54 | WARNING  | web-server-01   | Failed login attempt for user root from 92.115.118.196
2026-05-28 19:50:54 | WARNING  | db-server-01    | CPU usage at 88% - approaching threshold
