2026-05-28 19:51:14 | INFO     | api-gateway     | Successful login by user mlopez from 213.16.44.68
2026-05-28 19:51:14 | CRITICAL | api-gateway     | Unauthorized access attempt on restricted endpoint from 157.71.238.73
2026-05-28 19:51:14 | CRITICAL | auth-server     | Unauthorized access attempt on restricted endpoint from 73.26.61.29
2026-05-28 19:51:14 | WARNING  | file-server     | Disk usage at 77% on /var/log partition
2026-05-28 19:51:14 | WARNING  | file-server     | Failed login attempt for user admin from 223.196.162.149
2026-05-28 19:51:14 | ERROR    | file-server     | API gateway timeout after 30s - downstream service unreachable
2026-05-28 19:51:14 | WARNING  | auth-server     | Login attempt outside business hours by user jsmith
2026-05-28 19:51:14 | ERROR    | auth-server     | HTTP 500 error rate at 32% over last 10 minutes
2026-05-28 19:51:14 | WARNING  | web-server-01   | Failed login attempt for user root from 133.44.78.150
2026-05-28 19:51:14 | WARNING  | file-server     | Disk usage at 94% on /var/log partition
2026-05-28 19:51:14 | ERROR    | auth-server     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:14 | WARNING  | db-server-01    | Failed login attempt for user root from 199.213.140.231
2026-05-28 19:51:14 | CRITICAL | db-server-01    | Disk usage at 84% - write failures imminent
2026-05-28 19:51:14 | CRITICAL | auth-server     | Memory usage at 88% - possible memory leak detected
2026-05-28 19:51:14 | WARNING  | api-gateway     | Failed login attempt for user admin from 136.104.67.34
2026-05-28 19:51:14 | CRITICAL | web-server-01   | Memory usage at 79% - possible memory leak detected
2026-05-28 19:51:14 | CRITICAL | file-server     | CPU usage at 99% - threshold exceeded for 5+ minutes
2026-05-28 19:51:14 | ERROR    | api-gateway     | HTTP 500 error rate at 45% over last 10 minutes
2026-05-28 19:51:14 | WARNING  | file-server     | Memory usage at 88% - monitor closely
2026-05-28 19:51:14 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:51:14 | ERROR    | api-gateway     | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:14 | WARNING  | api-gateway     | CPU usage at 87% - approaching threshold
2026-05-28 19:51:14 | CRITICAL | db-server-01    | Database connection pool exhausted - all requests failing
2026-05-28 19:51:14 | CRITICAL | auth-server     | Memory usage at 76% - possible memory leak detected
2026-05-28 19:51:14 | CRITICAL | api-gateway     | CPU usage at 99% - threshold exceeded for 5+ minutes
2026-05-28 19:51:14 | WARNING  | auth-server     | Failed login attempt for user root from 112.223.145.220
2026-05-28 19:51:14 | WARNING  | web-server-01   | Memory usage at 84% - monitor closely
2026-05-28 19:51:14 | ERROR    | web-server-01   | Service crashed unexpectedly - attempting restart
2026-05-28 19:51:14 | CRITICAL | file-server     | Database connection pool exhausted - all requests failing
2026-05-28 19:51:14 | WARNING  | api-gateway     | Login attempt outside business hours by user unknown_user
2026-05-28 19:51:14 | WARNING  | db-server-01    | CPU usage at 79% - approaching threshold
